date,avgPubSize,avgEpochsNumber,avgPubPrice,avgBid,totalPubs,totalTracSpent
2023-02-12T00:00:00.000Z,510.6351,4.0,1.457509613135054,0.24356542629192174,1666,2428.211015483
2023-02-13T00:00:00.000Z,510.3051,4.0,1.4559998401665044,0.24347289853081566,3081,4485.935507553
2023-02-14T00:00:00.000Z,510.1838,4.0,1.4542427524920372,0.24323490390754382,3014,4383.087656011
2023-02-15T00:00:00.000Z,509.9096,4.0,1.4539951391862218,0.24332615727578444,1858,2701.522968608
2023-02-20T00:00:00.000Z,510.4439,4.0,1.451044370585366,0.24257839732874376,1435,2082.24867179
2023-02-21T00:00:00.000Z,510.5813,4.0,1.4532923638255855,0.24288710253576892,2861,4157.869452905
2023-02-22T00:00:00.000Z,509.5132,4.0,1.4502224241402413,0.24288075045142554,2239,3247.04800765
2023-02-23T00:00:00.000Z,510.3639,4.0,1.4539022160727082,0.24309448554381613,2847,4139.259609159
2023-02-24T00:00:00.000Z,510.5134,4.0,1.4542636955676522,0.2430852175131824,2875,4181.008124757
2023-02-25T00:00:00.000Z,509.9308,4.0,1.4531786520333907,0.24317728066972963,2905,4221.483984157
2023-02-26T00:00:00.000Z,509.8539,4.0,1.4519347732334973,0.2430091293344508,2848,4135.110234169
2023-02-27T00:00:00.000Z,554.9112,4.0378,1.627334282816594,0.24299854451401984,687,1117.978652295
2023-03-03T00:00:00.000Z,507.6705,4.0,1.4514817115681817,0.24397727282454626,88,127.730390618
2023-03-04T00:00:00.000Z,780.7454,4.0,2.223250914168085,0.24299290786133274,1410,3134.783788977
2023-03-05T00:00:00.000Z,775.5807,4.0,2.2088719557079943,0.24302537106936756,2089,4614.333515474
2023-03-07T00:00:00.000Z,781.9104,4.0,2.227970149177612,0.24314925380742428,670,1492.739999949
2023-03-08T00:00:00.000Z,781.6286,4.0,2.225782437362334,0.2429979036410954,2862,6370.189335731
2023-03-09T00:00:00.000Z,786.178,4.0,2.240414170006356,0.24318149725713153,2832,6344.852929458
2023-03-10T00:00:00.000Z,792.9693,4.0,2.247444918613157,0.24185198434751515,2797,6286.103437361
2023-03-11T00:00:00.000Z,793.4796,4.0,2.2316614722116483,0.24000000007337666,2627,5862.5746875
2023-03-12T00:00:00.000Z,797.7431,4.0,2.243652547393365,0.2400000000805806,1055,2367.0534375
2023-03-13T00:00:00.000Z,794.5743,4.0,2.234740223463687,0.24000000007784492,2685,6000.2775
2023-03-14T00:00:00.000Z,794.7151,4.0,2.235136356768735,0.24000000007784753,2482,5547.6084375
2023-03-15T00:00:00.000Z,793.7679,4.0,2.2324722764371896,0.24000000007785302,2818,6291.106875
2023-03-16T00:00:00.000Z,792.1093,4.0,2.2278072731316727,0.2400000000738611,2810,6260.1384375
2023-03-17T00:00:00.000Z,793.9257,4.0,2.2329158958773783,0.24000000006415795,2838,6337.0153125
