nodeId,networkId,tokenName,tokenSymbol,nodeGroup,date,nodeStake,pubsCommited,pubsCommited1stEpochOnly,estimatedEarnings,cumulativeEstimatedEarnings,payouts,cumulativePayouts,ask
32,QmPTT7R3rwKUawLJxEXwcerZfqC2rkYWr2uZiXUo6ftFoS,Trace Labs Node 12,TLNODE_12,Trace Labs,2023-07-10T00:00:00.000Z,53296.711583773,13,3,2.571328125,3679.598998439267,1.261605474,3296.711576909,0.11
108,QmancZ6c2zGCpujhhSLHrg9naAY8BwAGSJVPgRUMfG4AxE,SPARK4,PWD4,Solo,2023-07-10T00:00:00.000Z,50019.558078342,1,1,0.24,482.89734375,0.0,19.558078326,0.24
116,QmcZHDH5XnrifFUA2FhBWmjsgQFwqibvXqHMQTB9VKNG3y,dkgnode2,DKGN2,Solo,2023-07-10T00:00:00.000Z,400000.0,11,11,2.64,588.77484375,0.0,0.0,1e-05
111,QmXWrYF6yBfFudYzRx272jMNKbnSD2gsxJXBDCMSBdZuK8,SPARK2,PWD2,Solo,2023-07-10T00:00:00.000Z,50032.560533311,2,2,0.48,407.7853125,0.2,32.560533288,0.24
90,QmW9RZBE7gdsLVa7hhzjik48yz8zDjaBJH3ih3QpBVSEGv,SHIFT06,ST06,Alliance,2023-07-10T00:00:00.000Z,53311.729977756,3,3,0.804375,570.53234375,0.2,26.729977736,0.24
99,QmYnZYqsuzA4Pr21YeDtQSouDvr4nT5wshnSdaa6A3uvG8,SOON,EMP,Alliance,2023-07-10T00:00:00.000Z,50056.029863823,1,1,0.24,304.631015625,0.2,56.02986378,0.24
61,QmVCzVXqPXFgfdN7FXsQCqC2PYf8u8pWHL7MX9EVuLMsMH,COGE_TRAC03,COGET03,Solo,2023-07-10T00:00:00.000Z,53059.269518579,7,3,1.4709375,1244.56838276775,1.49415574,636.269517955,0.24
11,QmeaeLpQENK5eHHMF6Kt5iqeFtqADV8vUzcp3jYeSghCQy,Trace Labs Node 18,TLNODE_18,Trace Labs,2023-07-10T00:00:00.000Z,50877.99237322,4,2,0.854296875,1257.0453818534168,0.831248647,877.992370218,0.1
68,QmNz2N82FAKBDKHEBSi32NxikbPewsUqkMDdVxZmkZiZka,CoachPA Node 3,COACH3,Solo,2023-07-10T00:00:00.000Z,52186.836509943,2,0,0.3759375,1388.2220214833333,0.2,1186.836509894,0.24
19,QmUNnGWcQgeat54n3DpLRMHSHpvcGDhjnL2wdEWBno9eEC,Trace Labs Node 26,TLNODE_26,Trace Labs,2023-07-10T00:00:00.000Z,51008.1916365,16,5,3.359765625,1648.6599633088333,0.0,1008.19163296,0.12
91,QmaM3ubEDegc8uRb7kDnFp2M1Y2A86PBDdXEMy5qBRVWnf,SHIFT07,ST07,Alliance,2023-07-10T00:00:00.000Z,53520.030764236,5,5,1.2,824.405390625,0.646077473,235.030764107,0.24
47,QmSdi4m5SBfPU8VcTB3dB2i1HWAV6G4VdPQgo7K8xEqFWU,Hotnode6,Hotnode6,Alliance,2023-07-10T00:00:00.000Z,58582.166205249,5,2,1.043671875,1688.7385215808167,1.695291077,982.166203438,0.24
26,QmVQfYT9c4iaBmiFZsNcQZJJJbDKuodBHUXSexfnwuUnwg,Trace Labs Node 23,TLNODE_23,Trace Labs,2023-07-10T00:00:00.000Z,53627.400265437,7,1,1.350703125,3489.340473873883,1.418163795,3627.400258826,0.1
58,Qma2UjJmKRkq2ssjPvpsmLFjneSyeDNqpKjuUi158rpfVV,CVIKI,CVI,Alliance,2023-07-10T00:00:00.000Z,51708.875198807,6,2,1.2328125,1792.3917577920834,0.990233916,1208.875198432,0.24
52,QmWV8WbhuXj22tbWKc9pnfPaCAdWKRZpMDnpAKxfpCXM2R,drMurlly-DKGv6-2,DKGv6-2,Alliance,2023-07-10T00:00:00.000Z,50037.506811713,5,1,1.02421875,1620.9835341527332,0.1000125,1087.373986293,0.24
121,Qmb49PRCUmotz15MSyhUWuwzBg2ENtqDiUTb695HmfmvVD,OTLee,OTL,Alliance,2023-07-10T00:00:00.000Z,300000.0,0,0,0.0,0.0,0.0,0.0,0.24
1,QmemqyXyvrTAm7PwrcTcFiEEFx69efdR92GSZ1oQprbdja,Trace Labs Node 1,TLNODE_1,Trace Labs,2023-07-10T00:00:00.000Z,0.0,0,0,0.0,0.0,0.0,0.0,0.00375
40,QmRWR3W32A1eiqW7nWwcPxPbmK68VzXpyPrS7rpcjrY7SV,Branimir Rakic X87,BRX87,Alliance,2023-07-10T00:00:00.000Z,77005.518321668,8,5,1.759453125,2901.9351131150165,0.97351953,2005.168976167,0.24
25,QmRiWNNEc9WQAfjX7tM2sdsunbKJTiywWdsYGw6W8Uo1Q1,Trace Labs Node 15,TLNODE_15,Trace Labs,2023-07-10T00:00:00.000Z,52864.751408106,16,6,3.44484375,4183.367824127983,1.851438603,2864.507593807,0.11
